TIME,Total,CCI
2004-11-01,486391,100.945
2004-12-01,171835,101.0863
2004-12-01,167401,101.0863
2004-12-01,194338,101.0863
2004-12-01,211666,101.0863
2005-01-01,70978,101.071
2005-01-01,44009,101.071
2005-01-01,35313,101.071
2005-01-01,30871,101.071
2005-01-01,31806,101.071
2005-02-01,33413,100.9089
2005-02-01,32825,100.9089
2005-02-01,31963,100.9089
2005-02-01,31277,100.9089
2005-03-01,30341,100.67
2005-03-01,31656,100.67
2005-03-01,30549,100.67
2005-03-01,437995,100.67
2005-04-01,195627,100.4738
2005-04-01,131942,100.4738
2005-04-01,111407,100.4738
2005-04-01,98608,100.4738
2005-04-01,98083,100.4738
2005-05-01,86157,100.5446
2005-05-01,69659,100.5446
2005-05-01,65988,100.5446
2005-05-01,75116,100.5446
2005-06-01,78471,100.805
2005-06-01,84449,100.805
2005-06-01,85599,100.805
2005-06-01,93887,100.805
2005-07-01,84017,100.7077
2005-07-01,75082,100.7077
2005-07-01,66987,100.7077
2005-07-01,62883,100.7077
2005-07-01,64298,100.7077
2005-08-01,62064,100.092
2005-08-01,63977,100.092
2005-08-01,64279,100.092
2005-08-01,62979,100.092
2005-09-01,62500,99.34371
2005-09-01,59969,99.34371
2005-09-01,68307,99.34371
2005-09-01,69559,99.34371
2005-10-01,65727,99.10086
2005-10-01,61583,99.10086
2005-10-01,61452,99.10086
2005-10-01,67242,99.10086
2005-10-01,77773,99.10086
2005-11-01,93588,99.50333
2005-11-01,109916,99.50333
2005-11-01,148571,99.50333
2005-11-01,661433,99.50333
2005-12-01,409989,100.1039
2005-12-01,488384,100.1039
2005-12-01,604187,100.1039
2005-12-01,678201,100.1039
2005-12-01,222694,100.1039
2006-01-01,142252,100.3748
2006-01-01,147580,100.3748
2006-01-01,146681,100.3748
2006-01-01,137731,100.3748
2006-02-01,131904,100.3242
2006-02-01,127970,100.3242
2006-02-01,123456,100.3242
2006-02-01,120185,100.3242
2006-03-01,115361,100.1874
2006-03-01,105305,100.1874
2006-03-01,106216,100.1874
2006-03-01,107267,100.1874
2006-04-01,121752,99.92552
2006-04-01,133742,99.92552
2006-04-01,154980,99.92552
2006-04-01,159751,99.92552
2006-04-01,143435,99.92552
2006-05-01,138896,99.632
2006-05-01,136582,99.632
2006-05-01,132701,99.632
2006-05-01,129242,99.632
2006-06-01,125393,99.61038
2006-06-01,288379,99.61038
2006-06-01,208463,99.61038
2006-06-01,187573,99.61038
2006-07-01,181335,99.64802
2006-07-01,180902,99.64802
2006-07-01,173254,99.64802
2006-07-01,165205,99.64802
2006-07-01,160934,99.64802
2006-08-01,151794,99.7503
2006-08-01,133606,99.7503
2006-08-01,133499,99.7503
2006-08-01,151716,99.7503
2006-09-01,159485,100.0784
2006-09-01,167580,100.0784
2006-09-01,168777,100.0784
2006-09-01,170030,100.0784
2006-09-01,165211,100.0784
2006-10-01,156077,100.5155
2006-10-01,145681,100.5155
2006-10-01,157713,100.5155
2006-10-01,191308,100.5155
2006-11-01,237740,100.7559
2006-11-01,303404,100.7559
2006-11-01,491607,100.7559
2006-11-01,1386740,100.7559
2006-12-01,836924,100.8761
2006-12-01,956260,100.8761
2006-12-01,1130648,100.8761
2006-12-01,1286297,100.8761
2006-12-01,487026,100.8761
2007-01-01,313361,100.9094
2007-01-01,276203,100.9094
2007-01-01,274129,100.9094
2007-01-01,272740,100.9094
2007-02-01,303416,100.6772
2007-02-01,326349,100.6772
2007-02-01,376525,100.6772
2007-02-01,380165,100.6772
2007-03-01,320243,100.3943
2007-03-01,309160,100.3943
2007-03-01,286266,100.3943
2007-03-01,270854,100.3943
2007-03-01,261444,100.3943
2007-04-01,263141,100.2132
2007-04-01,260257,100.2132
2007-04-01,301635,100.2132
2007-04-01,407566,100.2132
2007-05-01,400139,100.1504
2007-05-01,375662,100.1504
2007-05-01,340370,100.1504
2007-05-01,308199,100.1504
2007-06-01,314426,100.1081
2007-06-01,341160,100.1081
2007-06-01,351855,100.1081
2007-06-01,341340,100.1081
2007-06-01,354716,100.1081
2007-07-01,324566,100.0841
2007-07-01,351775,100.0841
2007-07-01,355028,100.0841
2007-07-01,337455,100.0841
2007-08-01,320323,99.84557
2007-08-01,344683,99.84557
2007-08-01,359781,99.84557
2007-08-01,355402,99.84557
2007-09-01,391088,99.58009
2007-09-01,389697,99.58009
2007-09-01,383909,99.58009
2007-09-01,378565,99.58009
2007-09-01,433074,99.58009
2007-10-01,434289,99.27362
2007-10-01,402849,99.27362
2007-10-01,447356,99.27362
2007-10-01,454273,99.27362
2007-11-01,492624,98.97621
2007-11-01,566588,98.97621
2007-11-01,777108,98.97621
2007-11-01,1636266,98.97621
2007-12-01,1200248,98.80122
2007-12-01,1385736,98.80122
2007-12-01,1478985,98.80122
2007-12-01,2252343,98.80122
2007-12-01,1011860,98.80122
2008-01-01,447476,98.63303
2008-01-01,286318,98.63303
2008-01-01,283084,98.63303
2008-01-01,379670,98.63303
2008-02-01,353716,98.22823
2008-02-01,491348,98.22823
2008-02-01,388579,98.22823
2008-02-01,370499,98.22823
2008-03-01,522595,97.7402
2008-03-01,334745,97.7402
2008-03-01,434027,97.7402
2008-03-01,543953,97.7402
2008-03-01,401850,97.7402
2008-04-01,474034,97.19009
2008-04-01,375880,97.19009
2008-04-01,485747,97.19009
2008-04-01,371508,97.19009
2008-05-01,680735,96.79513
2008-05-01,399619,96.79513
2008-05-01,355214,96.79513
2008-05-01,569597,96.79513
2008-05-01,429603,96.79513
2008-06-01,455153,96.67092
2008-06-01,568276,96.67092
2008-06-01,476802,96.67092
2008-06-01,556847,96.67092
2008-07-01,451486,96.88242
2008-07-01,475697,96.88242
2008-07-01,499460,96.88242
2008-07-01,475401,96.88242
2008-08-01,429691,97.15038
2008-08-01,374423,97.15038
2008-08-01,368323,97.15038
2008-08-01,399007,97.15038
2008-08-01,420999,97.15038
2008-09-01,449198,97.22958
2008-09-01,445180,97.22958
2008-09-01,351385,97.22958
2008-09-01,391128,97.22958
2008-10-01,364032,96.86205
2008-10-01,448707,96.86205
2008-10-01,496292,96.86205
2008-10-01,520958,96.86205
2008-11-01,545367,96.59484
2008-11-01,645251,96.59484
2008-11-01,809306,96.59484
2008-11-01,977836,96.59484
2008-11-01,2340390,96.59484
2008-12-01,1402798,96.58707
2008-12-01,1808249,96.58707
2008-12-01,2438214,96.58707
2008-12-01,1900883,96.58707
2009-01-01,463883,96.59457
2009-01-01,392021,96.59457
2009-01-01,373473,96.59457
2009-01-01,528668,96.59457
2009-01-01,665983,96.59457
2009-02-01,529961,96.56746
2009-02-01,460054,96.56746
2009-02-01,545421,96.56746
2009-02-01,460625,96.56746
2009-03-01,405569,96.77773
2009-03-01,465550,96.77773
2009-03-01,446195,96.77773
2009-03-01,416291,96.77773
2009-04-01,344303,97.24435
2009-04-01,682220,97.24435
2009-04-01,435861,97.24435
2009-04-01,342468,97.24435
2009-05-01,319971,97.64585
2009-05-01,289844,97.64585
2009-05-01,280468,97.64585
2009-05-01,304671,97.64585
2009-05-01,300949,97.64585
2009-06-01,303447,97.81208
2009-06-01,336478,97.81208
2009-06-01,343503,97.81208
2009-06-01,338791,97.81208
2009-07-01,323875,97.765
2009-07-01,319063,97.765
2009-07-01,316582,97.765
2009-07-01,312255,97.765
2009-08-01,332255,97.81049
2009-08-01,314974,97.81049
2009-08-01,308175,97.81049
2009-08-01,308233,97.81049
2009-08-01,385659,97.81049
2009-09-01,419874,97.99567
2009-09-01,372926,97.99567
2009-09-01,361662,97.99567
2009-09-01,339016,97.99567
2009-10-01,473953,98.02654
2009-10-01,461868,98.02654
2009-10-01,466068,98.02654
2009-10-01,459160,98.02654
2009-10-01,458776,98.02654
2009-11-01,617329,98.04115
2009-11-01,740214,98.04115
2009-11-01,899608,98.04115
2009-11-01,2271439,98.04115
2009-12-01,1734034,98.22246
2009-12-01,1798620,98.22246
2009-12-01,2252464,98.22246
2009-12-01,2602683,98.22246
2010-01-01,795052,98.39052
2010-01-01,513962,98.39052
2010-01-01,391373,98.39052
2010-01-01,490506,98.39052
2010-01-01,511532,98.39052
2010-02-01,450657,98.44781
2010-02-01,440262,98.44781
2010-02-01,509037,98.44781
2010-02-01,464712,98.44781
2010-03-01,465158,98.44459
2010-03-01,436381,98.44459
2010-03-01,428342,98.44459
2010-03-01,436719,98.44459
2010-04-01,482247,98.42336
2010-04-01,410979,98.42336
2010-04-01,354737,98.42336
2010-04-01,295053,98.42336
2010-05-01,278577,98.42204
2010-05-01,253688,98.42204
2010-05-01,274577,98.42204
2010-05-01,317117,98.42204
2010-05-01,288698,98.42204
2010-06-01,291173,98.32322
2010-06-01,327836,98.32322
2010-06-01,353724,98.32322
2010-06-01,379712,98.32322
2010-07-01,343054,98.02749
2010-07-01,327000,98.02749
2010-07-01,319972,98.02749
2010-07-01,315412,98.02749
2010-07-01,319936,98.02749
2010-08-01,346565,97.84713
2010-08-01,328907,97.84713
2010-08-01,309049,97.84713
2010-08-01,321309,97.84713
2010-09-01,313097,97.79431
2010-09-01,319104,97.79431
2010-09-01,391047,97.79431
2010-09-01,365497,97.79431
2010-10-01,344804,97.89665
2010-10-01,323573,97.89665
2010-10-01,313148,97.89665
2010-10-01,344001,97.89665
2010-10-01,392174,97.89665
2010-11-01,537096,98.16397
2010-11-01,767329,98.16397
2010-11-01,901175,98.16397
2010-11-01,2440188,98.16397
2010-12-01,1466230,98.42456
2010-12-01,1836163,98.42456
2010-12-01,2307188,98.42456
2010-12-01,2451343,98.42456
2011-01-01,803572,98.53705
2011-01-01,431298,98.53705
2011-01-01,367157,98.53705
2011-01-01,365156,98.53705
2011-01-01,381989,98.53705
2011-02-01,384539,98.48608
2011-02-01,419553,98.48608
2011-02-01,461575,98.48608
2011-02-01,520665,98.48608
2011-03-01,416732,98.23303
2011-03-01,385092,98.23303
2011-03-01,347749,98.23303
2011-03-01,308020,98.23303
2011-04-01,626511,98.17236
2011-04-01,343079,98.17236
2011-04-01,343472,98.17236
2011-04-01,329763,98.17236
2011-04-01,295179,98.17236
2011-05-01,253558,98.15604
2011-05-01,235160,98.15604
2011-05-01,264427,98.15604
2011-05-01,278188,98.15604
2011-06-01,285588,97.83686
2011-06-01,274608,97.83686
2011-06-01,288061,97.83686
2011-06-01,305607,97.83686
2011-07-01,289985,97.23755
2011-07-01,270997,97.23755
2011-07-01,259918,97.23755
2011-07-01,251521,97.23755
2011-07-01,244846,97.23755
2011-08-01,242636,96.72601
2011-08-01,276279,96.72601
2011-08-01,339347,96.72601
2011-08-01,327828,96.72601
2011-09-01,315651,96.65622
2011-09-01,301440,96.65622
2011-09-01,276906,96.65622
2011-09-01,325957,96.65622
2011-10-01,301424,96.89687
2011-10-01,308438,96.89687
2011-10-01,313071,96.89687
2011-10-01,364421,96.89687
2011-10-01,452143,96.89687
2011-11-01,528669,97.35576
2011-11-01,748839,97.35576
2011-11-01,858515,97.35576
2011-11-01,2942010,97.35576
2011-12-01,1264498,97.92338
2011-12-01,1542563,97.92338
2011-12-01,1848642,97.92338
2011-12-01,1982141,97.92338
2011-12-01,687867,97.92338
2012-01-01,343323,98.40728
2012-01-01,272343,98.40728
2012-01-01,270692,98.40728
2012-01-01,252587,98.40728
2012-02-01,284823,98.67706
2012-02-01,311016,98.67706
2012-02-01,395608,98.67706
2012-02-01,490740,98.67706
2012-03-01,305028,98.80706
2012-03-01,270506,98.80706
2012-03-01,256950,98.80706
2012-03-01,236921,98.80706
2012-03-01,221566,98.80706
2012-04-01,235588,98.8435
2012-04-01,202130,98.8435
2012-04-01,207491,98.8435
2012-04-01,201427,98.8435
2012-05-01,169708,98.78497
2012-05-01,163351,98.78497
2012-05-01,180528,98.78497
2012-05-01,204181,98.78497
2012-06-01,207071,98.57067
2012-06-01,200377,98.57067
2012-06-01,205017,98.57067
2012-06-01,200107,98.57067
2012-06-01,193395,98.57067
2012-07-01,194682,98.49516
2012-07-01,190775,98.49516
2012-07-01,180140,98.49516
2012-07-01,176184,98.49516
2012-08-01,189792,98.67322
2012-08-01,178438,98.67322
2012-08-01,181847,98.67322
2012-08-01,229530,98.67322
2012-09-01,229475,99.00475
2012-09-01,211669,99.00475
2012-09-01,204690,99.00475
2012-09-01,204825,99.00475
2012-09-01,214151,99.00475
2012-10-01,221525,99.24251
2012-10-01,219400,99.24251
2012-10-01,257512,99.24251
2012-10-01,311562,99.24251
2012-11-01,405487,99.15195
2012-11-01,506115,99.15195
2012-11-01,654129,99.15195
2012-11-01,2773710,99.15195
2012-12-01,955679,98.8019
2012-12-01,1119972,98.8019
2012-12-01,1378467,98.8019
2012-12-01,1510811,98.8019
2012-12-01,735438,98.8019
2013-01-01,324593,98.66731
2013-01-01,199214,98.66731
2013-01-01,156765,98.66731
2013-01-01,165551,98.66731
2013-02-01,201707,98.77527
2013-02-01,241384,98.77527
2013-02-01,273430,98.77527
2013-02-01,256020,98.77527
2013-03-01,215906,98.95014
2013-03-01,186507,98.95014
2013-03-01,182592,98.95014
2013-03-01,183198,98.95014
2013-03-01,225666,98.95014
2013-04-01,188861,99.17252
2013-04-01,162513,99.17252
2013-04-01,156119,99.17252
2013-04-01,147657,99.17252
2013-05-01,130371,99.52722
2013-05-01,123466,99.52722
2013-05-01,126418,99.52722
2013-05-01,123128,99.52722
2013-06-01,120451,99.7106
2013-06-01,114844,99.7106
2013-06-01,173695,99.7106
2013-06-01,154149,99.7106
2013-06-01,140040,99.7106
2013-07-01,128701,99.67108
2013-07-01,121593,99.67108
2013-07-01,114301,99.67108
2013-07-01,109848,99.67108
2013-08-01,111302,99.3766
2013-08-01,117186,99.3766
2013-08-01,110987,99.3766
2013-08-01,121074,99.3766
2013-08-01,127523,99.3766
2013-09-01,125009,98.97702
2013-09-01,123479,98.97702
2013-09-01,219986,98.97702
2013-09-01,174524,98.97702
2013-10-01,168711,98.73
2013-10-01,200360,98.73
2013-10-01,187340,98.73
2013-10-01,192098,98.73
2013-11-01,206738,98.83536
2013-11-01,257825,98.83536
2013-11-01,1257422,98.83536
2013-11-01,1101801,98.83536
2013-11-01,1793819,98.83536
